t,x,y,z,vx,vy,vz
1635600.0,-5554.886341491051,-4643.683728069743,966.3720577074107,-1.321274876513059,0.3347453603259649,-7.192913393861491
1635900.0,-5689.368233481104,-4330.989413397653,-1202.683966545414,0.4381809546026932,1.738844817882668,-7.154597533806265
1636200.0,-5291.951238967348,-3613.5408127880846,-3258.2193491312687,2.197390913827195,3.011290712690629,-6.436660055854943
1636500.0,-4387.860449912708,-2550.2939040579927,-5000.066233375405,3.787332549964332,4.023398105419502,-5.074927148936467
1636800.0,-3053.380496748822,-1237.114861371142,-6249.069058965978,5.039691032161977,4.660397913665672,-3.174487237286645
1637100.0,-1412.635218752496,199.86223798755168,-6868.126740934867,5.807662151069737,4.838154766409494,-0.909679222892022
1637400.0,372.3538293681276,1615.932769337893,-6781.458186113676,5.9892113944825605,4.519446811791061,1.48821699296172
1637700.0,2118.313368011658,2863.806036434256,-5988.180425950227,5.547632382749756,3.725594406111076,3.7564292771731735
1638000.0,3642.4579476941167,3811.860746639732,-4566.481504535645,4.52388560438439,2.5392308316237218,5.637392806064008
1638300.0,4785.893349031054,4361.436568836852,-2665.889835697873,3.0345983974231237,1.094839685112597,6.919653278295928
1638600.0,5433.994799209689,4459.481635462491,-488.02556731733466,1.254018736833137,-0.4422718516868402,7.471863362554923
1638900.0,5529.378037621992,4103.7645564492195,1740.429350562978,-0.6160150356484253,-1.903229933316252,7.2592040288906805
1639200.0,5075.2527482193545,3340.0229995312484,3796.441758162448,-2.3784346340232863,-3.140698106722647,6.338359864490548
1639500.0,4129.9175175006,2252.797821797286,5485.17380754601,-3.8663487992872914,-4.045120418450194,4.836201097538975
1639800.0,2795.373193070816,953.0165314153392,6656.921183280299,-4.9565449135053585,-4.550260965010895,2.9221935133675663
1640100.0,1203.5802850133741,-434.7697348119338,7216.050297725844,-5.572277635613433,-4.630663592921907,0.7837921521677365
1640400.0,-497.03608689953916,-1783.7293654371772,7123.615599706478,-5.679685683015769,-4.295483684984661,-1.3907563812273152
1640700.0,-2153.660288876703,-2974.178193192245,6395.899799946045,-5.2824776614961015,-3.5822633947326152,-3.422789857346186
1641000.0,-3619.6446024229326,-3901.3343937670093,5100.5819967525185,-4.417515853228854,-2.5522091401922014,-5.149092222369391
1641300.0,-4764.070196554481,-4481.968720605954,3351.3977601905244,-3.152549441848852,-1.287433030763541,-6.426734123081273
1641600.0,-5480.831479069664,-4660.36054691771,1301.164682458782,-1.5851206712182209,0.1111282566629003,-7.139315784240012
1641900.0,-5697.427300531345,-4413.585068687762,-867.4375928071512,0.1586099025811257,1.526376728186773,-7.2059242181271745
1642200.0,-5383.086767293352,-3755.658910054634,-2954.219777735639,1.927555154616939,2.8303029008864815,-6.592821700758492
1642500.0,-4555.121033973929,-2739.555925846663,-4757.492093388832,3.5541368955990533,3.893073543292017,-5.325650703090176
1642800.0,-3281.867711129059,-1455.852836294321,-6093.386138870916,4.868679344477799,4.596400141295776,-3.4986222194118066
1643100.0,-1680.414446854642,-26.829284962238326,-6816.897812688667,5.719590470317876,4.850094936674959,-1.275965102659074
1643400.0,92.2726242613228,1404.4955621375962,-6841.672499983538,5.9964711388679195,4.608645654461668,1.11836631240899
1643700.0,1855.019386913576,2689.815182695617,-6154.726285950367,5.651477673010322,3.8838811211868065,3.424164892229467
1644000.0,3423.582012276914,3693.667434518298,-4822.267317901527,4.713340345787647,2.749402261846174,5.380377271840364
1644300.0,4634.063891046308,4311.142921135945,-2983.8134383338706,3.2876986518385647,1.332971025587011,6.766048370704709
1644600.0,5364.026502966402,4481.471042691842,-834.5415128717825,1.5414177473278592,-0.2029901401689891,7.435960752822265
1644900.0,5546.804536368909,4194.487498529336,1400.883658712222,-0.3259959233899972,-1.6882028088091783,7.340264914591249
1645200.0,5176.351532273764,3488.9644615059588,3497.171536422816,-2.1151338038091643,-2.970513552617209,6.522610991790147
1645500.0,4302.945347814232,2444.22993319065,5253.869250905438,-3.65351352948525,-3.9337862237843066,5.1006951729744365
1645800.0,3022.499142297468,1168.042875319935,6513.5406103937985,-4.810912924465223,-4.50495629839615,3.2389782387059265
1646100.0,1463.021134233916,-216.25887875350108,7171.853407963205,-5.503537301882419,-4.652468136029473,1.123305660636911
